,Discriminant,Class number,Time execution,Calculation times,Subexponentiality
207,-57892,48,0:00:01.516989,100,1
208,-58424,100,0:00:01.222441,100,1
209,-58548,96,0:00:00.970364,100,1
210,-58888,32,0:00:00.510361,100,1
211,-58920,72,0:00:00.707795,100,1
212,-60196,72,0:00:00.513035,100,1
213,-61304,192,0:00:03.016134,100,1
214,-61556,200,0:00:02.090160,100,1
215,-62152,64,0:00:00.739051,100,1
216,-62196,96,0:00:01.906599,100,1
217,-62632,50,0:00:00.754562,100,1
218,-62968,64,0:00:01.705803,100,1
219,-63220,64,0:00:01.546965,100,1
220,-63224,176,0:00:02.826082,100,1
221,-63640,64,0:00:01.961569,100,1
222,-63716,128,0:00:01.958114,100,1
223,-63736,64,0:00:01.434426,100,1
224,-64196,180,0:00:02.175621,100,1
225,-64804,80,0:00:00.655552,100,1
226,-64952,144,0:00:03.654266,100,1
227,-65204,234,0:00:01.449160,100,1
228,-65764,112,0:00:02.645484,100,1
229,-65784,100,0:00:02.459836,100,1
230,-66328,50,0:00:01.116737,100,1
231,-66436,96,0:00:02.210145,100,1
232,-66840,64,0:00:02.392719,100,1
233,-67076,112,0:00:00.840181,100,1
234,-67128,100,0:00:03.267087,100,1
235,-67256,192,0:00:02.743000,100,1
236,-67480,72,0:00:02.963998,100,1
237,-68584,126,0:00:00.891781,100,1
238,-69064,64,0:00:00.583081,100,1
239,-69128,108,0:00:01.372291,100,1
240,-69608,96,0:00:00.895909,100,1
241,-69688,48,0:00:01.092246,100,1
242,-70244,144,0:00:02.154008,100,1
243,-70296,96,0:00:01.885827,100,1
244,-71012,96,0:00:02.200349,100,1
245,-72084,100,0:00:01.577565,100,1
246,-72184,96,0:00:04.785380,100,1
247,-72632,160,0:00:02.767551,100,1
248,-73112,96,0:00:02.323697,100,1
249,-73140,64,0:00:02.184948,100,1
250,-73144,64,0:00:02.235453,100,1
251,-73448,90,0:00:01.540584,100,1
252,-73636,112,0:00:01.048440,100,1
253,-73832,108,0:00:01.130832,100,1
254,-74168,112,0:00:01.750277,100,1
